Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3179805,-,-,-,30.69,76.7,5,309,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Pressure,Precipitable Water,Wind Speed,Wind Direction
2018,1,1,0,0,8.6,0,0,0,0,-0.6000000000000001,0,0,0,52.51,978,0.7000000000000001,1.4000000000000001,359
2018,1,1,0,30,8.8,0,0,0,0,-0.6000000000000001,0,0,0,51.81,978,0.7000000000000001,1.3,184
2018,1,1,1,0,9,0,0,0,0,-1,0,0,0,49.63,978,0.7000000000000001,1.3,9
2018,1,1,1,30,9.1,0,0,0,0,-1,0,0,0,49.25,977,0.7000000000000001,1.2000000000000002,12
2018,1,1,2,0,9.1,0,0,0,0,-1.3,0,0,0,48.11,977,0.7000000000000001,1.1,16
2018,1,1,2,30,9.200000000000001,0,0,0,0,-1.3,0,0,0,47.79,977,0.7000000000000001,1.1,17
2018,1,1,3,0,9.3,0,0,0,0,-1.8,0,0,0,45.77,977,0.7000000000000001,1.1,18
2018,1,1,3,30,9.4,0,0,0,0,-1.8,0,0,0,45.47,977,0.7000000000000001,1.1,16
2018,1,1,4,0,9.600000000000001,0,0,0,0,-2.4000000000000004,0,0,0,42.92,976,0.7000000000000001,1,14
2018,1,1,4,30,9.600000000000001,0,0,0,0,-2.4000000000000004,0,0,0,42.92,976,0.7000000000000001,1,14
2018,1,1,5,0,9.4,0,0,0,0,-1.1,0,0,0,47.93,972,1.1,0.6000000000000001,20
2018,1,1,5,30,9.200000000000001,0,0,0,1,-1.1,0,0,0,48.58,972,1.1,0.6000000000000001,39
2018,1,1,6,0,9,0,0,0,1,-1.1,0,0,0,49.13,972,1.1,0.6000000000000001,57
2018,1,1,6,30,9.1,0,0,0,1,-1.1,0,0,0,48.800000000000004,972,1.1,0.6000000000000001,71
2018,1,1,7,0,9.200000000000001,3,8,4,0,-0.5,3,8,4,50.77,973,1.1,0.7000000000000001,84
2018,1,1,7,30,10.5,33,75,42,0,-0.5,33,75,42,46.54,973,1.1,0.7000000000000001,94
2018,1,1,8,0,11.700000000000001,80,165,114,1,0.9,80,165,114,47.47,973,1.1,0.8,104
2018,1,1,8,30,13,123,243,194,1,0.9,123,243,194,43.64,974,1.1,0.9,124
2018,1,1,9,0,14.3,158,315,274,3,-0.8,63,0,63,35.5,974,1.1,1,144
2018,1,1,9,30,15.5,186,367,347,3,-0.8,94,0,94,32.87,974,1.1,1.1,166
2018,1,1,10,0,16.8,207,415,411,3,-1.8,143,0,143,27.96,974,1.1,1.1,187
2018,1,1,10,30,17.8,223,445,461,3,-1.8,173,4,175,26.26,974,1.1,1.3,196
2018,1,1,11,0,18.8,207,549,519,3,-2.3000000000000003,216,21,229,23.87,973,1.1,1.5,204
2018,1,1,11,30,19.3,212,561,541,3,-2.3000000000000003,277,125,350,23.14,973,1.1,1.7000000000000002,210
2018,1,1,12,0,19.8,211,572,549,2,-2.4000000000000004,281,178,387,22.19,973,1.1,2,215
2018,1,1,12,30,19.900000000000002,208,566,539,2,-2.4000000000000004,253,342,452,22.05,973,1.1,2,220
2018,1,1,13,0,19.900000000000002,203,553,514,2,-2.6,248,302,418,21.78,972,1.1,2.1,225
2018,1,1,13,30,19.6,194,530,473,2,-2.6,238,239,364,22.18,972,1.1,2,230
2018,1,1,14,0,19.3,205,398,397,2,-2.6,215,202,312,22.57,972,1,2,235
2018,1,1,14,30,18.5,182,355,332,2,-2.6,185,122,236,23.72,972,1,1.7000000000000002,239
2018,1,1,15,0,17.6,151,309,260,2,0.9,142,49,160,32.46,972,1,1.3,243
2018,1,1,15,30,15.9,114,240,180,3,0.9,85,0,85,36.15,972,1,1.2000000000000002,248
2018,1,1,16,0,14.200000000000001,69,163,100,0,1,69,163,100,40.63,972,1,1,254
2018,1,1,16,30,13.5,25,68,32,0,1,25,68,32,42.51,972,1,1.1,262
2018,1,1,17,0,12.8,0,0,0,0,-1.2000000000000002,0,0,0,38.07,972,1,1.1,270
2018,1,1,17,30,12.600000000000001,0,0,0,0,-1.2000000000000002,0,0,0,38.57,972,1,1.1,284
2018,1,1,18,0,12.4,0,0,0,0,-2,0,0,0,36.76,973,1,1,298
2018,1,1,18,30,12.100000000000001,0,0,0,0,-2,0,0,0,37.49,973,1,1,313
2018,1,1,19,0,11.8,0,0,0,0,-2.2,0,0,0,37.63,973,1.1,1,328
2018,1,1,19,30,11.4,0,0,0,0,-2.2,0,0,0,38.63,973,1.1,1,338
2018,1,1,20,0,11,0,0,0,0,-2.2,0,0,0,39.81,973,1.1,1,349
2018,1,1,20,30,10.700000000000001,0,0,0,0,-2.2,0,0,0,40.61,973,1.1,1.1,177
